strategy,bins_1,bins_2,dataset,classifier,accuracy_score,f1_score,precision_score,recall_score
uniform,6,7,radial,QDA,0.75,0.7368421052631579,1.0,0.5833333333333334
uniform,6,7,linear,Nearest Neighbors,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,7,linear,Linear SVM,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,6,7,linear,RBF SVM,0.9,0.9047619047619048,0.95,0.8636363636363636
uniform,6,7,linear,Gaussian Process,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,7,linear,Decision Tree,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,7,linear,Random Forest,0.9,0.9047619047619048,0.95,0.8636363636363636
uniform,6,7,linear,Neural Net,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,7,linear,AdaBoost,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,7,linear,Naive Bayes,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,6,7,linear,QDA,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,8,moon,Nearest Neighbors,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
uniform,6,8,moon,Linear SVM,0.875,0.8780487804878048,0.9,0.8571428571428571
